,BEA1,BEA2,BEA3,BEA4,BEA5,BEA6,BEA7,BEA8,latitude_3414,longitude_3414,type,timestamp
272,-90,-86,-83,-83,-79,-71,-73,-80,36472.51881,11120.06029,pseudo,1.62917E+12
273,-93,-96,-80,-76,-76,-75,-61,-80,36472.02454,11120.06025,truth,1.62917E+12
274,-96,-96,-80,-72,-75,-82,-72,-82,36472.02463,11118.61349,pseudo,1.62917E+12
275,-91,-86,-79,-85,-89,-91,-75,-79,36472.02472,11117.16673,pseudo,1.62917E+12
276,-82,-90,-70,-69,-70,-73,-82,-69,36472.02481,11115.7311,pseudo,1.62917E+12
277,-94,-86,-78,-87,-74,-70,-77,-76,36472.0249,11114.28434,pseudo,1.62917E+12
278,-84,-83,-68,-72,-80,-71,-80,-71,36472.02499,11112.8487,pseudo,1.62917E+12
279,-83,-84,-82,-70,-79,-89,-81,-71,36472.02508,11111.40194,pseudo,1.62917E+12
280,-89,-80,-73,-85,-72,-87,-77,-71,36472.0251,11111.02356,truth,1.62917E+12
281,-89,-83,-76,-77,-61,-80,-97,-74,36472.02519,11109.58793,pseudo,1.62917E+12
282,-89,-90,-81,-61,-75,-97,-91,-82,36472.02528,11108.14116,pseudo,1.62917E+12
283,-93,-90,-83,-68,-72,-92,-84,-80,36472.02537,11106.6944,pseudo,1.62917E+12
284,-92,-94,-82,-79,-67,-85,-97,-82,36472.02546,11105.25877,pseudo,1.62917E+12
285,-96,-96,-82,-78,-73,-95,-87,-85,36472.02555,11103.81201,pseudo,1.62917E+12
286,-96,-89,-80,-80,-83,-96,-93,-84,36472.02561,11102.74363,truth,1.62917E+12
287,-91,-91,-76,-76,-61,-82,-83,-80,36473.45878,11102.74372,pseudo,1.62917E+12
288,-98,-89,-78,-77,-83,-83,-88,-88,36474.89184,11102.74381,pseudo,1.62917E+12
289,-95,-98,-84,-72,-63,-88,-77,-96,36476.325,11102.7439,pseudo,1.62917E+12
290,-100,-94,-88,-72,-67,-79,-87,-77,36477.77033,11102.74399,truth,1.62917E+12
291,-82,-90,-87,-74,-67,-88,-84,-75,36479.2035,11102.74408,pseudo,1.62917E+12
292,-78,-93,-91,-70,-80,-83,-83,-76,36480.63666,11102.74417,pseudo,1.62917E+12
293,-78,-84,-88,-68,-86,-86,-86,-76,36482.06961,11102.74425,truth,1.62917E+12
294,-94,-92,-82,-81,-75,-81,-85,-73,36482.06952,11104.19102,pseudo,1.62917E+12
295,-81,-95,-86,-75,-67,-88,-87,-86,36482.06942,11105.77133,truth,1.62917E+12
296,-85,-98,-78,-65,-70,-90,-78,-77,36482.06933,11107.20696,pseudo,1.62917E+12
297,-84,-88,-77,-66,-76,-80,-90,-81,36482.06924,11108.65372,pseudo,1.62917E+12
298,-97,-88,-86,-69,-82,-82,-82,-84,36482.06916,11109.91129,truth,1.62917E+12
299,-91,-91,-80,-83,-82,-92,-87,-68,36482.06907,11111.34692,pseudo,1.62917E+12
300,-87,-85,-75,-66,-87,-78,-86,-75,36482.06898,11112.79368,pseudo,1.62917E+12
301,-89,-88,-86,-69,-84,-80,-72,-78,36482.06889,11114.24045,pseudo,1.62917E+12
302,-90,-76,-76,-78,-77,-74,-82,-70,36482.0688,11115.67608,pseudo,1.62917E+12
303,-77,-96,-79,-76,-84,-78,-78,-66,36482.06877,11116.17688,truth,1.62917E+12
304,-69,-75,-67,-73,-83,-76,-78,-60,36482.11214,11117.62365,pseudo,1.62917E+12
305,-77,-87,-77,-76,-84,-76,-82,-70,36482.15551,11119.05928,pseudo,1.62917E+12
306,-71,-74,-63,-75,-82,-72,-82,-57,36482.19876,11120.50605,pseudo,1.62917E+12
307,-80,-63,-69,-93,-90,-76,-85,-58,36482.24213,11121.94168,pseudo,1.62917E+12
308,-70,-67,-66,-84,-89,-77,-86,-59,36482.25371,11122.33119,truth,1.62917E+12
309,-71,-62,-72,-80,-91,-80,-93,-67,36481.91482,11123.73342,pseudo,1.62917E+12
310,-67,-60,-82,-78,-91,-89,-89,-75,36481.57582,11125.13564,pseudo,1.62917E+12
311,-72,-62,-76,-97,-92,-87,-91,-78,36481.23693,11126.53787,pseudo,1.62917E+12
312,-71,-76,-77,-83,-91,-82,-95,-87,36480.89793,11127.94009,pseudo,1.62917E+12
313,-61,-71,-73,-80,-100,-93,-97,-89,36480.55904,11129.34232,pseudo,1.62917E+12
314,-79,-66,-84,-91,-95,-94,-93,-82,36480.22004,11130.74454,pseudo,1.62917E+12
315,-57,-65,-81,-94,-93,-92,-91,-76,36479.88115,11132.14677,truth,1.62917E+12
316,-57,-65,-81,-94,-93,-92,-91,-76,36479.88115,11132.14677,pseudo,1.62917E+12
317,-57,-65,-81,-94,-93,-92,-91,-76,36479.88115,11132.14677,pseudo,1.62917E+12
318,-57,-65,-81,-94,-93,-92,-91,-76,36479.88115,11132.14677,pseudo,1.62917E+12
319,-57,-65,-81,-94,-93,-92,-91,-76,36479.88115,11132.14677,pseudo,1.62918E+12
320,-101,-94,-88,-76,-84,-87,-94,-84,36479.88115,11132.14677,truth,1.62918E+12
321,-70,-73,-82,-85,-99,-92,-98,-84,36480.22004,11130.74454,pseudo,1.62918E+12
322,-67,-70,-84,-86,-90,-93,-97,-78,36480.55904,11129.34232,pseudo,1.62918E+12
323,-76,-74,-74,-91,-100,-91,-96,-78,36480.89793,11127.94009,pseudo,1.62918E+12
324,-73,-71,-79,-77,-91,-90,-96,-77,36481.23693,11126.53787,pseudo,1.62918E+12
325,-70,-93,-73,-96,-92,-84,-95,-86,36481.57582,11125.13564,pseudo,1.62918E+12
326,-75,-72,-70,-83,-89,-88,-93,-82,36481.91482,11123.73342,pseudo,1.62918E+12
327,-73,-69,-64,-78,-90,-77,-89,-62,36482.25371,11122.33119,truth,1.62918E+12
328,-77,-72,-56,-82,-85,-83,-81,-60,36482.21046,11120.89556,pseudo,1.62918E+12
329,-87,-90,-64,-80,-89,-72,-75,-68,36482.16709,11119.44879,pseudo,1.62918E+12
330,-74,-90,-74,-86,-82,-80,-87,-69,36482.12384,11118.01316,pseudo,1.62918E+12
331,-90,-89,-67,-79,-81,-72,-80,-73,36482.08047,11116.56639,pseudo,1.62918E+12
332,-85,-85,-70,-76,-83,-78,-91,-75,36482.06877,11116.17688,truth,1.62918E+12
333,-87,-83,-72,-73,-89,-78,-82,-72,36482.06886,11114.73012,pseudo,1.62918E+12
334,-88,-95,-80,-70,-77,-84,-81,-77,36482.06895,11113.29449,pseudo,1.62918E+12
335,-80,-96,-89,-68,-77,-97,-87,-76,36482.06904,11111.84772,pseudo,1.62918E+12
336,-84,-88,-69,-59,-91,-80,-77,-80,36482.06913,11110.41209,pseudo,1.62918E+12
337,-87,,-91,-74,-77,-93,-88,-91,36482.06916,11109.91129,truth,1.62918E+12
338,-86,-88,-83,-73,-73,-89,-88,-77,36482.06925,11108.46453,pseudo,1.62918E+12
339,-91,-95,-89,-82,-83,-87,-90,-80,36482.06934,11107.0289,pseudo,1.62918E+12
340,-83,-90,-90,-75,-80,-80,-81,-85,36482.06942,11105.77133,truth,1.62918E+12
341,-91,-98,-90,-76,-71,-89,,-76,36482.06951,11104.32456,pseudo,1.62918E+12
342,-96,,-97,-80,-72,-88,-83,-81,36482.06961,11102.74425,truth,1.62918E+12
343,-82,-90,-80,-79,-73,-93,-92,-80,36480.63655,11102.74417,pseudo,1.62918E+12
344,-95,-95,-90,-77,-68,-97,-91,-87,36479.20339,11102.74408,pseudo,1.62918E+12
345,-101,-92,-98,-78,-62,-89,-84,-88,36477.77033,11102.74399,truth,1.62918E+12
346,-95,-94,-91,-85,-70,-93,-90,-94,36476.33717,11102.7439,pseudo,1.62918E+12
347,-95,-97,-89,-85,-66,-85,-81,-83,36474.904,11102.74381,pseudo,1.62918E+12
348,-89,-98,-89,-78,-74,-82,-85,-83,36473.47094,11102.74372,pseudo,1.62918E+12
349,-93,-92,-87,-75,-77,-96,-90,-91,36472.02561,11102.74363,truth,1.62918E+12
350,-93,-86,-87,-76,-70,-84,-89,-92,36472.02552,11104.19039,pseudo,1.62918E+12
351,-91,-89,-84,-80,-67,-98,-82,-85,36472.02543,11105.62602,pseudo,1.62918E+12
352,-98,-94,-82,-68,-69,-96,-80,-81,36472.02534,11107.07279,pseudo,1.62918E+12
353,-96,-90,-77,-77,-71,-89,-80,-72,36472.02525,11108.51955,pseudo,1.62918E+12
354,-86,-82,-77,-81,-85,-78,-90,-80,36472.02517,11109.95518,pseudo,1.62918E+12
355,-91,-89,-82,-68,-75,-80,-79,-72,36472.0251,11111.02356,truth,1.62918E+12
356,-96,-86,-88,-85,-81,-68,-75,-78,36472.02501,11112.47032,pseudo,1.62918E+12
357,-90,-87,-71,-75,-80,-70,-96,-72,36472.02492,11113.91708,pseudo,1.62918E+12
358,-90,-87,-76,-72,-96,-83,-93,-81,36472.02483,11115.35271,pseudo,1.62918E+12
359,-93,-82,-84,-72,-78,-71,-66,-74,36472.02474,11116.79948,pseudo,1.62918E+12
360,-90,-97,-73,-83,-84,-87,-68,-80,36472.02465,11118.24624,pseudo,1.62918E+12
361,-96,-91,-91,-86,-84,-79,-63,-83,36472.02456,11119.68187,pseudo,1.62918E+12
362,-100,-90,-80,-97,-92,-80,-68,-80,36472.02454,11120.06025,truth,1.62918E+12
363,-98,-93,-89,-77,-75,-81,-83,-81,36473.4577,11120.06034,pseudo,1.62918E+12
364,-89,-78,-81,-80,-76,-73,-71,-80,36474.89076,11120.06043,pseudo,1.62918E+12
365,-95,-89,-80,-93,-80,-72,-77,-85,36476.32392,11120.06052,pseudo,1.62918E+12
366,-95,-84,-74,-65,-81,-83,-76,-72,36476.84274,11120.06055,truth,1.62918E+12
367,-81,-89,-65,-76,-80,-69,-78,-61,36478.2758,11120.06064,pseudo,1.62918E+12
368,-88,-79,-68,-78,-85,-86,-85,-66,36479.70897,11120.06073,pseudo,1.62918E+12
369,-69,-73,-59,-82,-84,-77,-91,-54,36480.32664,11120.06077,truth,1.62918E+12
370,-75,-78,-68,-92,-94,-75,-94,-70,36480.32655,11121.4964,pseudo,1.62918E+12
371,-67,-66,-74,-95,-95,-94,-88,-79,36480.32649,11122.48688,truth,1.62918E+12
372,-78,-69,-63,-76,-88,-75,-90,-63,36480.32649,11122.48688,truth,1.62918E+12
373,-74,-82,-64,-75,-95,-92,-86,-74,36480.33277,11121.04012,pseudo,1.62918E+12
374,-84,-68,-57,-82,-84,-90,-92,-67,36480.33703,11120.0719,truth,1.62918E+12
375,-83,-83,-79,-77,-80,-82,-70,-72,36478.90387,11120.07181,pseudo,1.62918E+12
376,-94,-91,-75,-71,-81,-68,-80,-75,36477.4707,11120.07172,pseudo,1.62918E+12
377,-99,-84,-72,-69,-76,-84,-74,-79,36476.8182,11120.07168,truth,1.62918E+12
378,-86,-83,-79,-78,-76,-90,-67,-73,36475.38503,11120.07159,pseudo,1.62918E+12
379,-90,-87,-78,-83,-79,-75,-75,-76,36473.95197,11120.06037,pseudo,1.62918E+12
380,-94,-91,-82,-79,-79,-72,-71,-80,36472.51881,11120.06029,pseudo,1.62918E+12
381,-96,-96,-86,-76,-75,-82,-65,-77,36472.02454,11120.06025,truth,1.62918E+12
382,-88,-85,-76,-100,-76,-89,-70,-83,36472.02463,11118.61349,pseudo,1.62918E+12
383,-93,-91,-80,-70,-83,-73,-72,-82,36472.02472,11117.16673,pseudo,1.62918E+12
384,-86,-82,-72,-67,-67,-86,-80,-78,36472.02481,11115.7311,pseudo,1.62918E+12
385,-92,-94,-79,-70,-73,-71,-90,-81,36472.0249,11114.28434,pseudo,1.62918E+12
386,-96,-88,-79,-74,-86,-78,-86,-76,36472.02499,11112.8487,pseudo,1.62918E+12
387,-99,-94,-74,-74,-74,-77,-86,-71,36472.02508,11111.40194,pseudo,1.62918E+12
388,-93,-83,-81,-65,-69,-89,-90,-74,36472.0251,11111.02356,truth,1.62918E+12
389,-92,-89,-80,-70,-68,-88,-83,-83,36472.02519,11109.58793,pseudo,1.62918E+12
390,-89,-89,-89,-68,-68,-94,-94,-85,36472.02528,11108.14116,pseudo,1.62918E+12
391,-93,-94,-82,-70,-63,-90,-91,-81,36472.02537,11106.6944,pseudo,1.62918E+12
392,-94,-92,-85,-75,-63,-94,-96,-76,36472.02546,11105.25877,pseudo,1.62918E+12
393,-100,-97,-87,-67,-62,-97,-87,-82,36472.02555,11103.81201,pseudo,1.62918E+12
394,-100,-92,-82,-72,-66,-98,-95,-82,36472.02561,11102.74363,truth,1.62918E+12
395,-93,-91,-90,-82,-71,-81,-82,-83,36473.45878,11102.74372,pseudo,1.62918E+12
396,-89,-88,-78,-76,-76,-88,-83,-82,36474.89184,11102.74381,pseudo,1.62918E+12
397,-91,-93,-84,-75,-66,-90,-92,-87,36476.325,11102.7439,pseudo,1.62918E+12
398,-92,-96,-91,-87,-71,-96,-93,-96,36477.77033,11102.74399,truth,1.62918E+12
399,,,,,-86,,-99,,36479.2035,11102.74408,pseudo,1.62918E+12
400,-92,,-97,-85,-93,-99,-98,-97,36480.63666,11102.74417,pseudo,1.62918E+12
401,-102,,-96,-80,-94,-96,-101,-98,36482.06961,11102.74425,truth,1.62918E+12
402,-93,,-94,-89,-94,-98,-101,-99,36482.06952,11104.19102,pseudo,1.62918E+12
403,-98,-102,-97,-80,-88,-90,-93,-89,36482.06942,11105.77133,truth,1.62918E+12
404,-100,,-94,-80,-95,,-96,-91,36482.06933,11107.20696,pseudo,1.62918E+12
405,-96,,-90,-78,-92,-98,-92,-93,36482.06924,11108.65372,pseudo,1.62918E+12
406,-98,-102,-85,-72,-87,-90,-95,-87,36482.06916,11109.91129,truth,1.62918E+12
407,-98,-98,-86,-91,-92,-93,-91,-88,36482.06907,11111.34692,pseudo,1.62918E+12
408,-82,-88,-73,-75,-80,-78,-84,-95,36482.06898,11112.79368,pseudo,1.62918E+12
409,-94,-80,-78,-74,-91,-78,-78,-65,36482.06889,11114.24045,pseudo,1.62918E+12
410,-85,-79,-77,-69,-77,-72,-74,-64,36482.0688,11115.67608,pseudo,1.62918E+12
411,-82,-81,-70,-78,-92,-72,-74,-62,36482.06877,11116.17688,truth,1.62918E+12
412,-83,-83,-85,-85,-84,-82,-78,-87,36482.11214,11117.62365,pseudo,1.62918E+12
413,-73,-80,-78,-78,-83,-75,-73,-67,36482.15551,11119.05928,pseudo,1.62918E+12
414,-77,-93,-76,-80,-97,-70,-76,-65,36482.19876,11120.50605,pseudo,1.62918E+12
415,-68,-82,-63,-91,-95,-72,-88,-57,36482.24213,11121.94168,pseudo,1.62918E+12
416,-72,-70,-68,-83,-82,-75,-89,-66,36482.25371,11122.33119,truth,1.62918E+12
417,-70,-61,-78,-81,-90,-89,-94,-74,36481.91482,11123.73342,pseudo,1.62918E+12
418,-74,-65,-78,-82,-91,-92,-98,-79,36481.57582,11125.13564,pseudo,1.62918E+12
419,-75,-72,-86,-91,-97,-86,-92,-90,36481.23693,11126.53787,pseudo,1.62918E+12
420,-68,-67,-76,-85,-90,-90,-94,-80,36480.89793,11127.94009,pseudo,1.62918E+12
421,-69,-73,-73,-81,-94,-84,-93,-84,36480.55904,11129.34232,pseudo,1.62918E+12
422,-69,-64,-71,-95,-88,-100,-94,-76,36480.22004,11130.74454,pseudo,1.62918E+12
423,-61,-68,-85,-86,-93,-92,-94,-81,36479.88115,11132.14677,truth,1.62918E+12
424,-62,-80,-82,-95,-90,-90,-98,-84,36479.88115,11132.14677,truth,1.62918E+12
425,-70,-82,-74,-85,-90,-92,-94,-78,36480.22004,11130.74454,pseudo,1.62918E+12
426,-71,-81,-73,-85,-98,-95,-102,-76,36480.55904,11129.34232,pseudo,1.62918E+12
427,-68,-78,-77,-83,-92,-83,-94,-76,36480.89793,11127.94009,pseudo,1.62918E+12
428,-70,-77,-77,-82,-90,-84,-96,-76,36481.23693,11126.53787,pseudo,1.62918E+12
429,-73,-70,-87,-74,-88,-85,-102,-77,36481.57582,11125.13564,pseudo,1.62918E+12
430,-77,-65,-71,-72,-79,-86,-85,-68,36481.91482,11123.73342,pseudo,1.62918E+12
431,-68,-82,-56,-77,-85,-76,-83,-70,36482.25371,11122.33119,truth,1.62918E+12
432,-78,-78,-60,-86,-80,-88,-82,-69,36482.21046,11120.89556,pseudo,1.62918E+12
433,-76,-73,-68,-76,-92,-71,-86,-57,36482.16709,11119.44879,pseudo,1.62918E+12
434,-71,-83,-80,-80,-89,-70,-75,-72,36482.12384,11118.01316,pseudo,1.62918E+12
435,-82,-91,-68,-72,-98,-70,-86,-66,36482.08047,11116.56639,pseudo,1.62918E+12
436,-82,-94,-76,-73,-83,-76,-88,-70,36482.06877,11116.17688,truth,1.62918E+12
437,-90,-80,-74,-72,-81,-85,-79,-66,36482.06886,11114.73012,pseudo,1.62918E+12
438,-83,-90,-80,-73,-82,-81,-83,-76,36482.06895,11113.29449,pseudo,1.62918E+12
439,-82,-87,-81,-65,-72,-80,-80,-82,36482.06904,11111.84772,pseudo,1.62918E+12
440,-82,-94,-73,-58,-71,-85,-87,-77,36482.06913,11110.41209,pseudo,1.62918E+12
441,-94,-91,-90,-66,-69,-87,-86,-85,36482.06916,11109.91129,truth,1.62918E+12
442,-89,-96,-86,-66,-82,-80,-83,-76,36482.06925,11108.46453,pseudo,1.62918E+12
443,-94,-99,-99,-68,-70,-93,-87,-77,36482.06934,11107.0289,pseudo,1.62918E+12
444,-96,-94,-88,-72,-76,-92,-96,-83,36482.06942,11105.77133,truth,1.62918E+12
445,-87,,-94,-93,-75,-92,-86,-80,36482.06951,11104.32456,pseudo,1.62918E+12
446,-93,-98,-90,-83,-76,-98,-90,-91,36482.06961,11102.74425,truth,1.62918E+12
447,-83,-98,-94,-76,-68,-85,-86,-87,36480.63655,11102.74417,pseudo,1.62918E+12
448,-97,-96,-96,-84,-60,-96,-89,-83,36479.20339,11102.74408,pseudo,1.62918E+12
449,-92,-96,-83,-80,-56,-87,-81,-74,36477.77033,11102.74399,truth,1.62918E+12
450,-95,-96,-79,-74,-64,-89,-88,-87,36476.33717,11102.7439,pseudo,1.62918E+12
451,-93,-96,-79,-76,-70,-84,-78,-74,36474.904,11102.74381,pseudo,1.62918E+12
452,-94,-98,-81,-76,-76,-86,-85,-79,36473.47094,11102.74372,pseudo,1.62918E+12
453,-92,-92,-88,-73,-73,-93,-89,-95,36472.02561,11102.74363,truth,1.62918E+12
454,-87,-92,-86,-68,-72,-91,-81,-76,36472.02552,11104.19039,pseudo,1.62918E+12
455,-97,-96,-84,-68,-80,-97,-84,-82,36472.02543,11105.62602,pseudo,1.62918E+12
456,-85,-88,-71,-72,-72,-85,-94,-82,36472.02534,11107.07279,pseudo,1.62918E+12
457,-100,-92,-81,-69,-77,-89,-83,-81,36472.02525,11108.51955,pseudo,1.62918E+12
458,-94,-93,-80,-70,-73,-82,-79,-82,36472.02517,11109.95518,pseudo,1.62918E+12
459,-90,-90,-79,-80,-80,-78,-83,-78,36472.0251,11111.02356,truth,1.62918E+12
460,-93,-90,-84,-74,-83,-65,-86,-94,36472.02501,11112.47032,pseudo,1.62918E+12
461,-83,-94,-83,-76,-79,-74,-75,-77,36472.02492,11113.91708,pseudo,1.62918E+12
462,-92,-91,-72,-77,-83,-90,-82,-76,36472.02483,11115.35271,pseudo,1.62918E+12
463,-89,-85,-71,-85,-72,-76,-71,-76,36472.02474,11116.79948,pseudo,1.62918E+12
464,-94,-94,-82,-84,-87,-92,-67,-85,36472.02465,11118.24624,pseudo,1.62918E+12
465,-96,-87,-70,-86,-77,-78,-65,-72,36472.02456,11119.68187,pseudo,1.62918E+12
466,-88,-84,-78,-96,-85,-74,-63,-77,36472.02454,11120.06025,truth,1.62918E+12
467,-83,-83,-80,-80,-72,-74,-71,-74,36473.4577,11120.06034,pseudo,1.62918E+12
468,-88,-78,-81,-73,-81,-82,-73,-72,36474.89076,11120.06043,pseudo,1.62918E+12
469,-84,-80,-66,-74,-79,-74,-70,-65,36476.32392,11120.06052,pseudo,1.62918E+12
470,-93,-85,-67,-76,-80,-73,-75,-72,36476.84274,11120.06055,truth,1.62918E+12
471,-91,-72,-63,-80,-74,-81,-76,-62,36478.2758,11120.06064,pseudo,1.62918E+12
472,-85,-80,-63,-70,-87,-83,-90,-60,36479.70897,11120.06073,pseudo,1.62918E+12
473,-64,-76,-65,-84,-93,-75,-89,-54,36480.32664,11120.06077,truth,1.62918E+12
474,-68,-71,-62,-78,-85,-73,-81,-52,36480.32655,11121.4964,pseudo,1.62918E+12
475,-82,-70,-81,-93,-94,-95,-94,-67,36480.32649,11122.48688,truth,1.62918E+12
476,-76,-85,-63,-75,-89,-77,-90,-62,36480.32649,11122.48688,truth,1.62918E+12
477,-74,-76,-69,-73,-86,-77,-81,-67,36480.33277,11121.04012,pseudo,1.62918E+12
478,-80,-87,-61,-76,-84,-74,-83,-71,36480.33703,11120.0719,truth,1.62918E+12
479,-92,-80,-70,-66,-74,-67,-78,-72,36478.90387,11120.07181,pseudo,1.62918E+12
480,-91,-82,-85,-71,-78,-67,-74,-76,36477.4707,11120.07172,pseudo,1.62918E+12
481,-86,-91,-75,-65,-82,-73,-90,-68,36476.8182,11120.07168,truth,1.62918E+12
482,-89,-91,-72,-80,-77,-69,-68,-88,36475.38503,11120.07159,pseudo,1.62918E+12
483,-94,-81,-80,-75,-79,-72,-75,-82,36473.95197,11120.06037,pseudo,1.62918E+12
484,-90,-84,-78,-81,-83,-66,-70,-91,36472.51881,11120.06029,pseudo,1.62918E+12
485,-94,-88,-88,-77,-67,-71,-71,-84,36472.02454,11120.06025,truth,1.62918E+12
486,-84,-83,-70,-71,-79,-68,-72,-80,36472.02463,11118.61349,pseudo,1.62918E+12
487,-92,-83,-70,-81,-76,-70,-83,-71,36472.02472,11117.16673,pseudo,1.62918E+12
488,-84,-89,-82,-71,-76,-65,-90,-70,36472.02481,11115.7311,pseudo,1.62918E+12
489,-85,-80,-84,-67,-71,-74,-75,-78,36472.0249,11114.28434,pseudo,1.62918E+12
490,-82,-85,-78,-66,-69,-74,-84,-68,36472.02499,11112.8487,pseudo,1.62918E+12
491,-93,-86,-74,-72,-76,-83,-96,-92,36472.02508,11111.40194,pseudo,1.62918E+12
492,-92,-91,-78,-66,-75,-85,-82,-84,36472.0251,11111.02356,truth,1.62918E+12
493,-85,-91,-78,-66,-62,-92,-88,-85,36472.02519,11109.58793,pseudo,1.62918E+12
494,-94,-90,-93,-64,-67,-88,-84,-82,36472.02528,11108.14116,pseudo,1.62918E+12
495,-87,-94,-83,-72,-61,-94,-92,-83,36472.02537,11106.6944,pseudo,1.62918E+12
496,-100,-87,-98,-75,-69,-84,-82,-93,36472.02546,11105.25877,pseudo,1.62918E+12
497,-85,-92,-78,-78,-58,-93,-85,-76,36472.02555,11103.81201,pseudo,1.62918E+12
498,-88,-97,-90,-81,-71,-97,-96,-84,36472.02561,11102.74363,truth,1.62918E+12
499,-90,-92,-79,-71,-74,-81,-84,-80,36473.45878,11102.74372,pseudo,1.62918E+12
500,-86,-92,-95,-84,-69,-81,-76,-83,36474.89184,11102.74381,pseudo,1.62918E+12
501,-96,-95,-85,-83,-65,-89,-84,-95,36476.325,11102.7439,pseudo,1.62918E+12
502,-87,-91,-98,-68,-60,-90,-79,-89,36477.77033,11102.74399,truth,1.62918E+12
503,-87,-91,-100,-88,-71,-86,-82,-73,36479.2035,11102.74408,pseudo,1.62918E+12
504,-67,-87,-80,-66,-73,-90,-81,-82,36480.63666,11102.74417,pseudo,1.62918E+12
505,-73,-93,-89,-70,-78,-91,-77,-78,36482.06961,11102.74425,truth,1.62918E+12
506,-91,-96,-92,-75,-67,-98,-85,-78,36482.06952,11104.19102,pseudo,1.62918E+12
507,-80,-90,-87,-66,-71,-81,-80,-72,36482.06942,11105.77133,truth,1.62918E+12
508,-78,-92,-80,-68,-63,-92,-94,-71,36482.06933,11107.20696,pseudo,1.62918E+12
509,-83,-89,-78,-68,-70,-78,-87,-79,36482.06924,11108.65372,pseudo,1.62918E+12
510,-85,-91,-75,-60,-69,-77,-83,-75,36482.06916,11109.91129,truth,1.62918E+12
511,-80,-93,-78,-81,-80,-80,-74,-75,36482.06907,11111.34692,pseudo,1.62918E+12
512,-77,-82,-80,-73,-81,-85,-71,-75,36482.06898,11112.79368,pseudo,1.62918E+12
513,-81,-86,-74,-69,-77,-89,-74,-67,36482.06889,11114.24045,pseudo,1.62918E+12
514,-82,-87,-83,-75,-81,-78,-82,-68,36482.0688,11115.67608,pseudo,1.62918E+12
515,-69,-76,-72,-80,-77,-72,-74,-73,36482.06877,11116.17688,truth,1.62918E+12
516,-80,-81,-76,-82,-88,-81,-84,-66,36482.11214,11117.62365,pseudo,1.62918E+12
517,-74,-76,-64,-88,-76,-67,-71,-62,36482.15551,11119.05928,pseudo,1.62918E+12
518,-78,-76,-60,-73,-86,-72,-84,-54,36482.19876,11120.50605,pseudo,1.62918E+12
519,-69,-63,-67,-92,-103,-73,-82,-52,36482.24213,11121.94168,pseudo,1.62918E+12
520,-65,-68,-68,-84,-90,-71,-89,-58,36482.25371,11122.33119,truth,1.62918E+12
521,-69,-60,-78,-82,-89,-97,-86,-79,36481.91482,11123.73342,pseudo,1.62918E+12
522,-66,-60,-78,-83,,-86,-86,-72,36481.57582,11125.13564,pseudo,1.62918E+12
523,-70,-69,-79,-90,-91,-82,-96,-89,36481.23693,11126.53787,pseudo,1.62918E+12
524,-62,-70,-69,-82,-88,-91,-92,-76,36480.89793,11127.94009,pseudo,1.62918E+12
525,-60,-78,-80,-88,-92,-85,-98,-80,36480.55904,11129.34232,pseudo,1.62918E+12
526,-66,-62,-86,-84,-94,-100,-93,-82,36480.22004,11130.74454,pseudo,1.62918E+12
527,-59,-67,-82,-88,-96,-85,-85,-79,36479.88115,11132.14677,truth,1.62918E+12
528,-59,-67,-82,-88,-96,-85,-85,-79,36479.88115,11132.14677,pseudo,1.62918E+12
529,-63,-80,-80,-81,-90,-96,-88,-93,36479.88115,11132.14677,truth,1.62918E+12
530,-75,-84,-81,-89,-100,-90,-98,-81,36480.22004,11130.74454,pseudo,1.62918E+12
531,-79,-72,-86,-96,,-96,-88,-85,36480.55904,11129.34232,pseudo,1.62918E+12
532,-72,-73,-79,-87,-93,-84,-92,-91,36480.89793,11127.94009,pseudo,1.62918E+12
533,-71,-71,-75,-87,-91,-87,-95,-87,36481.23693,11126.53787,pseudo,1.62918E+12
534,-96,-77,-75,-80,-89,-84,-92,-71,36481.57582,11125.13564,pseudo,1.62918E+12
535,-76,-77,-74,-82,-96,-102,-96,-82,36481.91482,11123.73342,pseudo,1.62918E+12
536,-82,-68,-60,-80,-86,-77,-96,-69,36482.25371,11122.33119,truth,1.62918E+12
537,-82,-74,-64,-79,-89,-88,-88,-77,36482.21046,11120.89556,pseudo,1.62918E+12
538,-70,-80,-68,-80,-90,-68,-82,-60,36482.16709,11119.44879,pseudo,1.62918E+12
539,-78,-94,-68,-80,-84,-76,-85,-73,36482.12384,11118.01316,pseudo,1.62918E+12
540,-80,-80,-72,-72,-82,-76,-83,-71,36482.08047,11116.56639,pseudo,1.62918E+12
541,-77,-88,-69,-73,-74,-84,-78,-72,36482.06877,11116.17688,truth,1.62918E+12
542,-83,-83,-75,-73,-82,-80,-78,-74,36482.06886,11114.73012,pseudo,1.62918E+12
543,-80,-92,-81,-73,-76,-82,-85,-77,36482.06895,11113.29449,pseudo,1.62918E+12
544,-87,-95,-73,-74,-84,-85,-80,-72,36482.06904,11111.84772,pseudo,1.62918E+12
545,-83,-96,-80,-56,-94,-75,-81,-73,36482.06913,11110.41209,pseudo,1.62918E+12
546,-94,-94,-89,-64,-70,-86,-91,-93,36482.06916,11109.91129,truth,1.62918E+12
547,-86,-96,-79,-68,-82,-80,-87,-80,36482.06925,11108.46453,pseudo,1.62918E+12
