,BEA1,BEA2,BEA3,BEA4,BEA5,BEA6,BEA7,BEA8,latitude_3414,longitude_3414,type,timestamp
62,-95,-80,-71,-80,-69,-72,-82,-73,36472.02463,11118.61349,pseudo,1.62917E+12
63,-87,-91,-72,-89,-76,-65,-73,-72,36472.02472,11117.16673,pseudo,1.62917E+12
64,-90,-88,-86,-70,-68,-67,-84,-71,36472.02481,11115.7311,pseudo,1.62917E+12
65,-83,-85,-69,-70,-76,-76,-78,-82,36472.0249,11114.28434,pseudo,1.62917E+12
66,-84,-92,-82,-70,-77,-77,-78,-72,36472.02499,11112.8487,pseudo,1.62917E+12
67,-96,-96,-69,-68,-71,-71,-88,-76,36472.02508,11111.40194,pseudo,1.62917E+12
68,-90,-82,-76,-68,-72,-87,-80,-76,36472.0251,11111.02356,truth,1.62917E+12
69,-94,-84,-73,-67,-64,-92,-82,-80,36472.02519,11109.58793,pseudo,1.62917E+12
70,-91,-89,-81,-72,-68,-92,-85,-85,36472.02528,11108.14116,pseudo,1.62917E+12
71,-86,-90,-82,-67,-64,-85,-81,-80,36472.02537,11106.6944,pseudo,1.62917E+12
72,-95,-94,-89,-80,-72,-87,-91,-89,36472.02546,11105.25877,pseudo,1.62917E+12
73,-90,-92,-88,-76,-63,-87,-84,-74,36472.02555,11103.81201,pseudo,1.62917E+12
74,-94,-90,-88,-71,-68,-98,-80,-80,36472.02561,11102.74363,truth,1.62917E+12
75,-89,-96,-84,-82,-73,-84,-81,-84,36473.45878,11102.74372,pseudo,1.62917E+12
76,-95,-92,-77,-84,-64,-84,-93,-74,36474.89184,11102.74381,pseudo,1.62917E+12
77,-90,-90,-86,-68,-61,-88,-82,-81,36476.325,11102.7439,pseudo,1.62917E+12
78,-87,-91,-92,-65,-59,-91,-90,-77,36477.77033,11102.74399,truth,1.62917E+12
79,-83,-97,-90,-71,-70,-95,-90,-83,36479.2035,11102.74408,pseudo,1.62917E+12
80,-75,-93,-78,-71,-71,-84,-84,-71,36480.63666,11102.74417,pseudo,1.62917E+12
81,-92,-85,-84,-66,-72,-98,-98,-78,36482.06961,11102.74425,truth,1.62917E+12
82,-84,-94,-85,-75,-68,-91,-98,-84,36482.06952,11104.19102,pseudo,1.62917E+12
83,-80,-90,-80,-64,-68,-80,-82,-70,36482.06942,11105.77133,truth,1.62917E+12
84,-96,-87,-80,-66,-81,-88,-80,-92,36482.06933,11107.20696,pseudo,1.62917E+12
85,-80,-90,-76,-61,-74,-81,-80,-80,36482.06924,11108.65372,pseudo,1.62917E+12
86,-86,-90,-91,-69,-78,-82,-84,-73,36482.06916,11109.91129,truth,1.62917E+12
87,-81,-83,-77,-66,-78,-78,-85,-68,36482.06907,11111.34692,pseudo,1.62917E+12
88,-94,-91,-75,-70,-91,-78,-68,-68,36482.06898,11112.79368,pseudo,1.62917E+12
89,-80,-77,-87,-65,-91,-75,-70,-73,36482.06889,11114.24045,pseudo,1.62917E+12
90,-78,-80,-79,-88,-83,-77,-93,-75,36482.0688,11115.67608,pseudo,1.62917E+12
91,-69,-89,-69,-72,-82,-68,-72,-62,36482.06877,11116.17688,truth,1.62917E+12
92,-74,-78,-67,-86,-91,-72,-69,-66,36482.11214,11117.62365,pseudo,1.62917E+12
