BEA1,BEA2,BEA3,BEA4,BEA5,BEA6,BEA7,BEA8,latitude,longitude,type,timestamp,
-87,-91,-72,-89,-76,-65,-73,-72,1.346109809,103.6816161,pseudo,1.62917E+12,
-90,-88,-86,-70,-68,-67,-84,-71,1.346109809,103.6816032,pseudo,1.62917E+12,
-83,-85,-69,-70,-76,-76,-78,-82,1.346109809,103.6815902,pseudo,1.62917E+12,
-84,-92,-82,-70,-77,-77,-78,-72,1.346109809,103.6815773,pseudo,1.62917E+12,
-96,-96,-69,-68,-71,-71,-88,-76,1.346109809,103.6815643,pseudo,1.62917E+12,
-90,-82,-76,-68,-72,-87,-80,-76,1.346109809,103.6815609,truth,1.62917E+12,
-94,-84,-73,-67,-64,-92,-82,-80,1.346109809,103.681548,pseudo,1.62917E+12,
-91,-89,-81,-72,-68,-92,-85,-85,1.346109809,103.681535,pseudo,1.62917E+12,
-86,-90,-82,-67,-64,-85,-81,-80,1.346109809,103.681522,pseudo,1.62917E+12,
-95,-94,-89,-80,-72,-87,-91,-89,1.346109809,103.6815091,pseudo,1.62917E+12,
-90,-92,-88,-76,-63,-87,-84,-74,1.346109809,103.6814961,pseudo,1.62917E+12,
-94,-90,-88,-71,-68,-98,-80,-80,1.346109809,103.6814865,truth,1.62917E+12,
-89,-96,-84,-82,-73,-84,-81,-84,1.34612277,103.6814865,pseudo,1.62917E+12,
-95,-92,-77,-84,-64,-84,-93,-74,1.34613573,103.6814865,pseudo,1.62917E+12,
-90,-90,-86,-68,-61,-88,-82,-81,1.346148691,103.6814865,pseudo,1.62917E+12,
-87,-91,-92,-65,-59,-91,-90,-77,1.346161762,103.6814865,truth,1.62917E+12,
-83,-97,-90,-71,-70,-95,-90,-83,1.346174723,103.6814865,pseudo,1.62917E+12,
-75,-93,-78,-71,-71,-84,-84,-71,1.346187684,103.6814865,pseudo,1.62917E+12,
-92,-85,-84,-66,-72,-98,-98,-78,1.346200643,103.6814865,truth,1.62917E+12,
-84,-94,-85,-75,-68,-91,-98,-84,1.346200643,103.6814995,pseudo,1.62917E+12,
-80,-90,-80,-64,-68,-80,-82,-70,1.346200643,103.6815137,truth,1.62917E+12,
-96,-87,-80,-66,-81,-88,-80,-92,1.346200643,103.6815266,pseudo,1.62917E+12,
-80,-90,-76,-61,-74,-81,-80,-80,1.346200643,103.6815396,pseudo,1.62917E+12,
-86,-90,-91,-69,-78,-82,-84,-73,1.346200643,103.6815509,truth,1.62917E+12,
-81,-83,-77,-66,-78,-78,-85,-68,1.346200643,103.6815638,pseudo,1.62917E+12,
-94,-91,-75,-70,-91,-78,-68,-68,1.346200643,103.6815768,pseudo,1.62917E+12,
-80,-77,-87,-65,-91,-75,-70,-73,1.346200643,103.6815898,pseudo,1.62917E+12,
-78,-80,-79,-88,-83,-77,-93,-75,1.346200643,103.6816027,pseudo,1.62917E+12,
-69,-89,-69,-72,-82,-68,-72,-62,1.346200643,103.6816072,truth,1.62917E+12,
-74,-78,-67,-86,-91,-72,-69,-66,1.346201036,103.6816202,pseudo,1.62917E+12,
-77,-85,-70,-83,-89,-70,-82,-67,1.346201429,103.6816331,pseudo,1.62917E+12,
-69,-76,-69,-81,-87,-73,-82,-60,1.346201821,103.6816461,pseudo,1.62917E+12,
-74,-70,-82,-92,-85,-77,-98,-61,1.346202214,103.681659,pseudo,1.62917E+12,
-71,-66,-67,-85,-97,-82,-94,-60,1.346202319,103.6816625,truth,1.62917E+12,
-97,-67,-82,-95,-93,-90,-88,-80,1.346199255,103.6816751,pseudo,1.62917E+12,
-65,-57,-80,-84,-97,-80,-96,-76,1.34619619,103.6816877,pseudo,1.62917E+12,
-70,-62,-74,-96,-98,-80,-92,-86,1.346193126,103.6817003,pseudo,1.62917E+12,
-72,-78,-78,-87,-92,-90,-93,-88,1.346190061,103.6817129,pseudo,1.62917E+12,
-63,-71,-76,-86,-89,-82,-91,-76,1.346186997,103.6817255,pseudo,1.62917E+12,
-72,-77,-81,-91,-93,-93,-98,-91,1.346183932,103.6817381,pseudo,1.62917E+12,
-62,-70,-85,-98,-96,-85,-85,-85,1.346180868,103.6817507,truth,1.62917E+12,
-62,-70,-85,-98,-96,-85,-85,-85,1.346180868,103.6817507,pseudo,1.62917E+12,
-62,-70,-85,-98,-96,-85,-85,-85,1.346180868,103.6817507,pseudo,1.62917E+12,
-62,-70,-85,-98,-96,-85,-85,-85,1.346180868,103.6817507,pseudo,1.62917E+12,
-96,-92,-96,-77,-92,-98,-103,-93,1.346180868,103.6817507,truth,1.62917E+12,
-66,-77,-88,-91,-93,-89,-96,-85,1.346183932,103.6817381,pseudo,1.62917E+12,
-74,-74,-83,-87,-96,-93,-92,-76,1.346186997,103.6817255,pseudo,1.62917E+12,
-74,-82,-94,-89,-95,-85,-96,-77,1.346190061,103.6817129,pseudo,1.62917E+12,
-80,-80,-83,-95,-98,-100,-96,-88,1.346193126,103.6817003,pseudo,1.62917E+12,
-85,-78,-94,-93,-96,-92,,-94,1.34619619,103.6816877,pseudo,1.62917E+12,
-82,-84,-81,-91,-100,-94,-100,-85,1.346199255,103.6816751,pseudo,1.62917E+12,
-84,-89,-86,-91,-100,-92,,-90,1.346202319,103.6816625,truth,1.62917E+12,
-83,-80,-75,-96,-96,-90,-85,-69,1.346201927,103.6816496,pseudo,1.62917E+12,
-80,-95,-72,-87,-94,-78,-98,-70,1.346201534,103.6816366,pseudo,1.62917E+12,
-86,-94,-83,-89,-92,-88,-91,-78,1.346201142,103.6816237,pseudo,1.62917E+12,
-82,-95,-82,-87,-96,-87,-88,-91,1.346200749,103.6816107,pseudo,1.62917E+12,
-96,-96,-82,-87,-93,-94,-91,-85,1.346200643,103.6816072,truth,1.62917E+12,
-84,-87,-81,-86,-89,-92,-91,-77,1.346200643,103.6815942,pseudo,1.62917E+12,
-91,-97,-95,-88,-90,-96,-85,-85,1.346200643,103.6815813,pseudo,1.62917E+12,
-92,-96,-82,-79,-84,-96,-84,-85,1.346200643,103.6815683,pseudo,1.62917E+12,
-90,-98,-82,-80,-86,-93,-91,-80,1.346200643,103.6815554,pseudo,1.62917E+12,
-98,-96,-97,-64,-96,-93,-98,-90,1.346200643,103.6815509,truth,1.62917E+12,
-98,-96,-96,-73,-80,-87,-98,-90,1.346200643,103.6815379,pseudo,1.62917E+12,
-94,,-96,-80,-89,-92,-100,-92,1.346200643,103.681525,pseudo,1.62917E+12,
-97,-94,-96,-84,-81,-98,-91,-94,1.346200643,103.6815137,truth,1.62917E+12,
-96,,-96,-96,-92,-97,-101,-90,1.346200643,103.6815007,pseudo,1.62917E+12,
-97,-100,-94,-85,-78,-92,-94,-96,1.346200643,103.6814865,truth,1.62917E+12,
-93,-99,-102,-86,-87,-96,-101,-98,1.346187683,103.6814865,pseudo,1.62917E+12,
-98,,-95,-84,-74,-92,-98,-92,1.346174722,103.6814865,pseudo,1.62917E+12,
-100,-98,-91,-88,-70,-91,-98,-84,1.346161762,103.6814865,truth,1.62917E+12,
